,Title,Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type,Location
0,  SH 125/150 các đời. biển 43 có trả góp ✅✅✅,45.800.000 đ ,Honda,SH,2022,10000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"
1,  Bán Vespa Sprint 150 cổ (08) chuẩn,48.000.000 đ ,Piaggio,Vespa,1998,336688,Đã sử dụng,100 - 175 cc,Xe số,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"
2,  Sh 150 ABS biển 43 đã full nguyên xe ý,82.800.000 đ ,Honda,SH,2019,2,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
3,  Bán Custom 70 chữ nổi nguyên rin,58.000.000 đ ,Honda,Cub,1998,33123,Đã sử dụng,100 - 175 cc,Xe số,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"
4,  Xe ab còn mới biển số 43 chính chủ,13.500.000 đ ,Honda,Air Blade,2012,9000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"
5,  29999999 VESPA GTS 3vie chính chủ BSSG,29.999.999 đ ,Piaggio,GTS,2014,13000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
6,  ab 2010 fi lên full thái bstp chính chủ,22.500.000 đ ,Honda,Air Blade,2010,1,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
7,  Can ban deam long zin,4.900.000 đ ,Hãng khác,Dòng khác,2001,35,Đã sử dụng,100 - 175 cc,Xe số,"Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai"
8,"  Xe GPX DEMON 150GR, xám trắng",25.000.000 đ ,GPX,Demon 150GR,2019,17000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Vĩnh Phước, Thành phố Nha Trang, Khánh Hòa"
9,  vespa fi biển 61. xe dọn mới hồng cá tính máy zin,12.800.000 đ ,Piaggio,Vespa,2012,39000,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
10,  Can bán honđa fuutre neo binh xăng,19.800.000 đ ,Honda,Future,2007,31,Đã sử dụng,50 - 100 cc,Xe số,"Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai"
11,  Tình trạng đang đấp mền p,20.000.000 đ ,Honda,Winner,2018,30,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"QL.51, Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai"
12,  Ab 2019 chìa khoá bstp chính chủ,33.000.000 đ ,Honda,Air Blade,2019,2,Đã sử dụng,100 - 175 cc,Tay ga,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
13,  winer biển 72 máy zin đi PXL ngoại hình đẹp,16.800.000 đ ,Honda,Winner,2016,39000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh"
14,  yamaha exciter 150cc 2015 xanh gp xe zin 1 đời chủ,18.000.000 đ ,Yamaha,Exciter,2015,22000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
15,  raider fi dki 2018,30.000.000 đ ,Suzuki,Raider,2018,18000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,"Chùa An Nội,, Xã An Nội, Huyện Bình Lục, Hà Nam"
16,"  Xe lead nguyên bản chưa từng sửa chữa, thay thế",28.500.000 đ ,Honda,Lead,2017,330000,Đã sử dụng,100 - 175 cc,Tay ga,"Hữu Hoà, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội"
