Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type
45800000.0,Honda,SH,2022.0,10000.0,Đã sử dụng,100 - 175 cc,Tay ga
48000000.0,Piaggio,Vespa,1998.0,336688.0,Đã sử dụng,100 - 175 cc,Xe số
82800000.0,Honda,SH,2019.0,2.0,Đã sử dụng,100 - 175 cc,Tay ga
58000000.0,Honda,Cub,1998.0,33123.0,Đã sử dụng,100 - 175 cc,Xe số
13500000.0,Honda,Air Blade,2012.0,9000.0,Đã sử dụng,100 - 175 cc,Tay ga
29999999.0,Piaggio,GTS,2014.0,13000.0,Đã sử dụng,100 - 175 cc,Tay ga
22500000.0,Honda,Air Blade,2010.0,1.0,Đã sử dụng,100 - 175 cc,Tay ga
4900000.0,Hãng khác,Dòng khác,2001.0,35.0,Đã sử dụng,100 - 175 cc,Xe số
25000000.0,GPX,Demon 150GR,2019.0,17000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
12800000.0,Piaggio,Vespa,2012.0,39000.0,Đã sử dụng,100 - 175 cc,Tay ga
19800000.0,Honda,Future,2007.0,31.0,Đã sử dụng,50 - 100 cc,Xe số
20000000.0,Honda,Winner,2018.0,30.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
33000000.0,Honda,Air Blade,2019.0,2.0,Đã sử dụng,100 - 175 cc,Tay ga
16800000.0,Honda,Winner,2016.0,39000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
18000000.0,Yamaha,Exciter,2015.0,22000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
30000000.0,Suzuki,Raider,2018.0,18000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
28500000.0,Honda,Lead,2017.0,330000.0,Đã sử dụng,100 - 175 cc,Tay ga
25500000.0,Honda,Vision,2016.0,1.0,Đã sử dụng,100 - 175 cc,Tay ga
6000000.0,SYM,Bonus,1997.0,50000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
16500000.0,Yamaha,Exciter,2017.0,666666.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
28800000.0,Suzuki,Satria,2019.0,11000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
75000000.0,Honda,SH,2019.0,6000.0,Đã sử dụng,50 - 100 cc,Tay ga
8800000.0,Honda,Air Blade,2008.0,39000.0,Đã sử dụng,100 - 175 cc,Tay ga
10300000.0,Honda,Air Blade,2008.0,4377.0,Đã sử dụng,100 - 175 cc,Tay ga
55500000.0,Honda,PCX,2019.0,1.0,Đã sử dụng,100 - 175 cc,Tay ga
110000000.0,Honda,CBR,2021.0,23.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
77000000.0,Honda,SH,2018.0,32323.0,Đã sử dụng,100 - 175 cc,Tay ga
36000000.0,Yamaha,Exciter,2022.0,10.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
68686868.0,Honda,SH,2021.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
68868000.0,Honda,SH,2019.0,100.0,Đã sử dụng,100 - 175 cc,Tay ga
20000000.0,Honda,Giorno,2009.0,2347.0,Đã sử dụng,100 - 175 cc,Tay ga
19600000.0,Honda,Air Blade,2011.0,1.0,Đã sử dụng,50 - 100 cc,Tay ga
9850000.0,Honda,Wave,2014.0,20000.0,Đã sử dụng,100 - 175 cc,Xe số
11000000.0,Yamaha,Luvias,2011.0,36000.0,Đã sử dụng,100 - 175 cc,Tay ga
21500000.0,Honda,PCX,2011.0,33333.0,Đã sử dụng,100 - 175 cc,Tay ga
14000000.0,Honda,Air Blade,2017.0,50000.0,Đã sử dụng,100 - 175 cc,Tay ga
1000.0,Piaggio,Vespa,2006.0,999999.0,Đã sử dụng,100 - 175 cc,Tay ga
18800000.0,Yamaha,Exciter,2016.0,29000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
16900000.0,Honda,Vision,2012.0,1.0,Đã sử dụng,100 - 175 cc,Tay ga
24500000.0,Honda,Air Blade,2015.0,123456.0,Đã sử dụng,100 - 175 cc,Tay ga
36000000.0,Suzuki,GSX,2020.0,7000.0,Đã sử dụng,50 - 100 cc,Tay côn/Moto
8800000.0,Yamaha,Luvias,2013.0,39000.0,Đã sử dụng,100 - 175 cc,Tay ga
5500000.0,Honda,Dream,2002.0,46967.0,Đã sử dụng,100 - 175 cc,Xe số
23500000.0,Honda,Winner,2017.0,5.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
40000000.0,Honda,Vario,2019.0,9000.0,Đã sử dụng,100 - 175 cc,Tay ga
55000000.0,Honda,CBR,2022.0,6000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
78000000.0,Honda,SH,2022.0,15000.0,Đã sử dụng,100 - 175 cc,Tay ga
12000000.0,Yamaha,Dòng khác,2003.0,12345.0,Đã sử dụng,100 - 175 cc,Tay ga
37000000.0,Honda,Sonic,2019.0,5.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
123456789.0,Honda,Vision,2015.0,123456.0,Đã sử dụng,100 - 175 cc,Tay ga
123456789.0,Honda,Vision,2015.0,123456.0,Đã sử dụng,100 - 175 cc,Tay ga
50500000.0,Honda,Vario,2019.0,2300.0,Đã sử dụng,50 - 100 cc,Tay ga
55000000.0,Piaggio,Sprint,2018.0,12000.0,Đã sử dụng,100 - 175 cc,Tay ga
32500000.0,Suzuki,Sport / Xipo,2000.0,7.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
18000000.0,Benelli,TNT,2019.0,200000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
15000000.0,Honda,SH Mode,2023.0,2000.0,Đã sử dụng,100 - 175 cc,Tay ga
23000000.0,Yamaha,Exciter,2016.0,5.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
59000000.0,Honda,Vario,2017.0,240000.0,Đã sử dụng,100 - 175 cc,Tay ga
39000000.0,Honda,Future,2008.0,438159.0,Đã sử dụng,100 - 175 cc,Xe số
21000000.0,Honda,Air Blade,2015.0,20000.0,Đã sử dụng,100 - 175 cc,Tay ga
37500000.0,Yamaha,Exciter,2022.0,5000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
88500000.0,Honda,SH,2023.0,1000.0,Đã sử dụng,50 - 100 cc,Tay ga
32000000.0,Piaggio,Primavera,2016.0,10000.0,Đã sử dụng,100 - 175 cc,Tay ga
45000000.0,Piaggio,Primavera,2018.0,5000.0,Đã sử dụng,100 - 175 cc,Tay ga
34000000.0,Yamaha,Exciter,2022.0,8000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
13500000.0,Honda,Wave,2017.0,5.0,Đã sử dụng,100 - 175 cc,Xe số
9800000.0,Honda,Wave,2006.0,50000.0,Đã sử dụng,50 - 100 cc,Xe số
31000000.0,Suzuki,Satria,2019.0,35000.0,Đã sử dụng,100 - 175 cc,Tay côn/Moto
24500000.0,Honda,Air Blade,2016.0,123456.0,Đã sử dụng,100 - 175 cc,Tay ga
32000000.0,Honda,Vario,2020.0,200000.0,Đã sử dụng,100 - 175 cc,Tay ga
6500000.0,Yamaha,Jupiter,2007.0,5000.0,Đã sử dụng,100 - 175 cc,Xe số
9000000.0,Honda,Cub,1986.0,99999.0,Đã sử dụng,100 - 175 cc,Xe số
42000000.0,Honda,Vario,2020.0,5.0,Đã sử dụng,100 - 175 cc,Tay ga
8900000.0,Yamaha,Jupiter,2007.0,77.0,Đã sử dụng,100 - 175 cc,Xe số
39000000.0,Honda,Vario,2019.0,20000.0,Đã sử dụng,100 - 175 cc,Tay ga
83000000.0,Honda,SH,2021.0,8000.0,Đã sử dụng,100 - 175 cc,Tay ga
15000000.0,Honda,Dream,2016.0,600000.0,Đã sử dụng,100 - 175 cc,Xe số
