Price,Brand,Model,Reg_Date,Km,Capacity,Type
45800000.0,honda,sh,2022.0,10000.0,100 - 175 cc,tay ga
29999999.0,piaggio,gts,2014.0,13000.0,100 - 175 cc,tay ga
25000000.0,gpx,demon 150gr,2019.0,17000.0,100 - 175 cc,tay côn/moto
16800000.0,honda,winner,2016.0,39000.0,100 - 175 cc,tay côn/moto
18000000.0,yamaha,exciter,2015.0,22000.0,100 - 175 cc,tay côn/moto
30000000.0,suzuki,raider,2018.0,18000.0,100 - 175 cc,tay côn/moto
28800000.0,suzuki,satria,2019.0,11000.0,100 - 175 cc,tay côn/moto
8800000.0,honda,air blade,2008.0,39000.0,100 - 175 cc,tay ga
110000000.0,honda,cbr,2021.0,23.0,100 - 175 cc,tay côn/moto
77000000.0,honda,sh,2018.0,32323.0,100 - 175 cc,tay ga
36000000.0,yamaha,exciter,2022.0,10.0,100 - 175 cc,tay côn/moto
68686868.0,honda,sh,2021.0,8000.0,100 - 175 cc,tay ga
14000000.0,honda,air blade,2017.0,50000.0,100 - 175 cc,tay ga
18800000.0,yamaha,exciter,2016.0,29000.0,100 - 175 cc,tay côn/moto
8800000.0,yamaha,luvias,2013.0,39000.0,100 - 175 cc,tay ga
5500000.0,honda,dream,2002.0,46967.0,100 - 175 cc,xe số
40000000.0,honda,vario,2019.0,9000.0,100 - 175 cc,tay ga
55000000.0,honda,cbr,2022.0,6000.0,100 - 175 cc,tay côn/moto
78000000.0,honda,sh,2022.0,15000.0,100 - 175 cc,tay ga
55000000.0,piaggio,sprint,2018.0,12000.0,100 - 175 cc,tay ga
15000000.0,honda,sh mode,2023.0,2000.0,100 - 175 cc,tay ga
21000000.0,honda,air blade,2015.0,20000.0,100 - 175 cc,tay ga
37500000.0,yamaha,exciter,2022.0,5000.0,100 - 175 cc,tay côn/moto
32000000.0,piaggio,primavera,2016.0,10000.0,100 - 175 cc,tay ga
45000000.0,piaggio,primavera,2018.0,5000.0,100 - 175 cc,tay ga
34000000.0,yamaha,exciter,2022.0,8000.0,100 - 175 cc,tay côn/moto
9800000.0,honda,wave,2006.0,50000.0,50 - 100 cc,xe số
31000000.0,suzuki,satria,2019.0,35000.0,100 - 175 cc,tay côn/moto
39000000.0,honda,vario,2019.0,20000.0,100 - 175 cc,tay ga
83000000.0,honda,sh,2021.0,8000.0,100 - 175 cc,tay ga
60000000.0,piaggio,gts,2018.0,8000.0,100 - 175 cc,tay ga
40000000.0,honda,sonic,2019.0,1000.0,100 - 175 cc,tay côn/moto
25800000.0,honda,vision,2018.0,9000.0,100 - 175 cc,tay ga
57000000.0,piaggio,gts,2017.0,8000.0,100 - 175 cc,tay ga
67000000.0,piaggio,sprint,2020.0,10000.0,100 - 175 cc,tay ga
25000000.0,honda,lead,2017.0,30000.0,100 - 175 cc,tay ga
35500000.0,honda,vario,2019.0,19000.0,100 - 175 cc,tay ga
46500000.0,honda,vario,2020.0,8000.0,100 - 175 cc,tay ga
15800000.0,honda,future,2015.0,25000.0,100 - 175 cc,xe số
28000000.0,honda,wave,2022.0,1000.0,100 - 175 cc,xe số
120000000.0,suzuki,sport / xipo,2018.0,50000.0,100 - 175 cc,tay côn/moto
40000000.0,piaggio,sprint,2014.0,8000.0,100 - 175 cc,tay ga
45000000.0,piaggio,sprint,2015.0,10000.0,100 - 175 cc,tay ga
26500000.0,honda,air blade,2016.0,9000.0,100 - 175 cc,tay côn/moto
9000000.0,piaggio,vespa,2011.0,100000.0,100 - 175 cc,tay ga
5000000.0,bmw,c400x,2012.0,120000.0,100 - 175 cc,xe số
22500000.0,honda,air blade,2013.0,10000.0,100 - 175 cc,tay ga
65000000.0,piaggio,sprint,2019.0,8000.0,100 - 175 cc,tay ga
49000000.0,piaggio,sprint,2015.0,8000.0,100 - 175 cc,tay ga
27800000.0,yamaha,grande,2018.0,12000.0,100 - 175 cc,tay ga
13800000.0,honda,wave,2020.0,5000.0,100 - 175 cc,xe số
17000000.0,honda,lead,2013.0,55000.0,100 - 175 cc,tay ga
14500000.0,suzuki,axelo,2017.0,30000.0,100 - 175 cc,tay côn/moto
25800000.0,honda,air blade,2016.0,9000.0,100 - 175 cc,tay ga
45000000.0,honda,vario,2019.0,50000.0,100 - 175 cc,tay ga
38000000.0,honda,air blade,2021.0,3000.0,100 - 175 cc,tay ga
27500000.0,honda,winner x,2020.0,9000.0,100 - 175 cc,tay côn/moto
22800000.0,honda,lead,2014.0,9000.0,100 - 175 cc,tay ga
60000000.0,honda,cb,2020.0,3000.0,100 - 175 cc,tay côn/moto
68000000.0,piaggio,sprint,2020.0,8000.0,100 - 175 cc,tay ga
32800000.0,yamaha,exciter,2019.0,35000.0,100 - 175 cc,tay côn/moto
85000000.0,honda,sh,2022.0,1555.0,100 - 175 cc,tay ga
27700000.0,yamaha,exciter,2020.0,32000.0,100 - 175 cc,tay côn/moto
69500000.0,honda,cb,2019.0,26000.0,100 - 175 cc,tay côn/moto
34000000.0,honda,air blade,2019.0,9000.0,100 - 175 cc,tay ga
55800000.0,gpx,legend 200,2021.0,6000.0,trên 175 cc,tay côn/moto
16000000.0,honda,future,2014.0,30000.0,100 - 175 cc,xe số
38000000.0,kawasaki,z125,2016.0,5000.0,100 - 175 cc,tay côn/moto
30000000.0,yamaha,exciter,2020.0,8000.0,100 - 175 cc,tay côn/moto
25800000.0,honda,vision,2017.0,9000.0,100 - 175 cc,tay ga
38000000.0,honda,vario,2021.0,5.0,100 - 175 cc,tay ga
15300000.0,honda,wave,2018.0,12345.0,50 - 100 cc,xe số
25000000.0,gpx,legend 200,2022.0,5000.0,trên 175 cc,tay côn/moto
98000000.0,piaggio,sprint,2022.0,2200.0,100 - 175 cc,tay ga
11000000.0,yamaha,sirius,2017.0,60000.0,50 - 100 cc,xe số
106000000.0,honda,sh,2022.0,600.0,100 - 175 cc,tay ga
6000000.0,honda,click,2008.0,48434.0,100 - 175 cc,tay ga
29000000.0,honda,winner x,2022.0,2000.0,trên 175 cc,tay côn/moto
49500000.0,honda,cbr,2020.0,2600.0,100 - 175 cc,tay côn/moto
90000000.0,honda,sh,2018.0,16000.0,100 - 175 cc,tay ga
70000000.0,honda,sh,2018.0,12700.0,100 - 175 cc,tay ga
13500000.0,honda,wave,2019.0,22222.0,100 - 175 cc,xe số
28000000.0,yamaha,tfx,2021.0,11000.0,100 - 175 cc,tay côn/moto
28500000.0,honda,air blade,2017.0,18000.0,100 - 175 cc,tay ga
83000000.0,piaggio,medley,2022.0,2400.0,100 - 175 cc,tay ga
16800000.0,honda,future,2021.0,123.0,100 - 175 cc,tay ga
36500000.0,yamaha,exciter,2021.0,20000.0,100 - 175 cc,tay côn/moto
30000000.0,honda,air blade,2019.0,5000.0,100 - 175 cc,tay ga
59500000.0,honda,sh,2016.0,18000.0,100 - 175 cc,tay ga
23000000.0,honda,air blade,2015.0,58000.0,100 - 175 cc,tay ga
13000000.0,honda,vision,2013.0,41500.0,100 - 175 cc,tay ga
38000000.0,honda,air blade,2020.0,21900.0,100 - 175 cc,tay ga
41000000.0,gpx,legend 200,2019.0,25000.0,trên 175 cc,tay côn/moto
15000000.0,honda,wave,2022.0,1000.0,100 - 175 cc,xe số
43800000.0,piaggio,sprint,2015.0,12345.0,100 - 175 cc,tay ga
20800000.0,suzuki,raider,2016.0,12345.0,100 - 175 cc,tay côn/moto
75000000.0,honda,sh,2022.0,6000.0,100 - 175 cc,tay ga
35000000.0,yamaha,r,2019.0,22000.0,100 - 175 cc,tay côn/moto
4200000.0,yamaha,nouvo,2013.0,20000.0,100 - 175 cc,tay ga
20000000.0,gpx,demon 150gr,2021.0,4000.0,trên 175 cc,tay côn/moto
93000000.0,piaggio,gts,2019.0,8000.0,trên 175 cc,tay ga
23500000.0,yamaha,exciter,2018.0,46307.0,100 - 175 cc,xe số
73000000.0,honda,sh,2019.0,5000.0,100 - 175 cc,tay ga
6500000.0,sym,elizabeth,2013.0,888888.0,100 - 175 cc,tay ga
24800000.0,yamaha,grande,2021.0,12000.0,100 - 175 cc,tay ga
25000000.0,yamaha,jupiter,2023.0,100.0,100 - 175 cc,xe số
62000000.0,honda,sh,2017.0,9000.0,100 - 175 cc,tay ga
19500000.0,yamaha,exciter,2013.0,13457.0,100 - 175 cc,xe số
38500000.0,honda,cb,2016.0,15000.0,trên 175 cc,tay côn/moto
110000000.0,honda,sh,2023.0,500.0,100 - 175 cc,tay ga
47000000.0,honda,vario,2023.0,4000.0,100 - 175 cc,tay ga
21500000.0,piaggio,vespa,2014.0,16000.0,100 - 175 cc,tay ga
33800000.0,honda,vario,2020.0,20000.0,100 - 175 cc,tay ga
30000000.0,yamaha,exciter,2020.0,20000.0,100 - 175 cc,tay côn/moto
18500000.0,honda,wave,2020.0,20000.0,100 - 175 cc,xe số
31500000.0,honda,sonic,2019.0,12000.0,100 - 175 cc,xe số
39500000.0,honda,vario,2019.0,22222.0,100 - 175 cc,tay ga
25800000.0,yamaha,exciter,2019.0,19000.0,100 - 175 cc,tay côn/moto
25500000.0,honda,air blade,2017.0,74000.0,100 - 175 cc,tay ga
38000000.0,brixton,bx 150,2018.0,10000.0,100 - 175 cc,tay côn/moto
21800000.0,piaggio,vespa,2014.0,25000.0,100 - 175 cc,tay ga
23500000.0,yamaha,grande,2017.0,35000.0,100 - 175 cc,tay ga
86000000.0,piaggio,gts,2019.0,9000.0,100 - 175 cc,tay ga
28000000.0,honda,sonic,2019.0,19000.0,100 - 175 cc,tay côn/moto
52000000.0,piaggio,sprint,2017.0,11000.0,100 - 175 cc,tay ga
15500000.0,honda,wave,2016.0,29870.0,50 - 100 cc,xe số
17000000.0,honda,wave,2021.0,5020.0,100 - 175 cc,xe số
19500000.0,honda,winner x,2020.0,14000.0,100 - 175 cc,tay côn/moto
23800000.0,yamaha,janus,2020.0,10000.0,100 - 175 cc,tay ga
41000000.0,piaggio,liberty,2016.0,18500.0,100 - 175 cc,tay ga
38500000.0,honda,air blade,2021.0,4000.0,100 - 175 cc,tay ga
12000000.0,honda,blade,2020.0,10000.0,100 - 175 cc,xe số
86500000.0,honda,rebel,2020.0,4000.0,trên 175 cc,tay côn/moto
79000000.0,honda,sh,2022.0,5000.0,100 - 175 cc,tay ga
21000000.0,yamaha,exciter,2018.0,71000.0,100 - 175 cc,tay côn/moto
29000000.0,honda,future,2019.0,10000.0,100 - 175 cc,xe số
29800000.0,honda,air blade,2017.0,12345.0,100 - 175 cc,tay ga
29800000.0,honda,vision,2019.0,8000.0,100 - 175 cc,tay ga
68000000.0,honda,sh,2022.0,5.0,100 - 175 cc,tay ga
12800000.0,honda,wave,2015.0,12345.0,100 - 175 cc,xe số
25500000.0,honda,vision,2017.0,22222.0,100 - 175 cc,tay ga
41000000.0,gpx,legend 200,2021.0,8000.0,trên 175 cc,tay côn/moto
10000000.0,honda,winner x,2021.0,20000.0,100 - 175 cc,tay côn/moto
83000000.0,piaggio,sprint,2021.0,6000.0,100 - 175 cc,tay ga
65000000.0,honda,click,2017.0,12000.0,100 - 175 cc,tay ga
32000000.0,honda,vision,2020.0,5000.0,100 - 175 cc,tay ga
22500000.0,yamaha,nvx,2018.0,10000.0,100 - 175 cc,tay ga
13800000.0,honda,lead,2017.0,60000.0,100 - 175 cc,tay ga
